"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
341900,"IN-0253","heliport","MMMUT Heliport",26.731111,83.435293,,"AS","IN","IN-UP","Gorakhpur","no",,,,,,,
341901,"IN-0254","heliport","Prayagraj Army Helipad",25.486483,81.850521,,"AS","IN","IN-UP","Prayagraj","no",,,,,,,
341902,"IN-0255","heliport","Fertilizer Colony Helipad",26.82455,83.376899,,"AS","IN","IN-UP","Gorakhpur","no",,,,,,,
341912,"IN-0256","heliport","Shegaon Heliport",20.779141,76.692378,,"AS","IN","IN-MM","Shegaon","no",,,,,,,
341913,"IN-0257","heliport","Bhokardan Heliport",20.234464,75.768429,,"AS","IN","IN-MM","Bhokardan","no",,,,,,,
341914,"IN-0258","heliport","ACC Heliport",21.940413,80.047809,,"AS","IN","IN-MP","Lalbarra","no",,,,,,,
341915,"IN-0259","heliport","BKT Heliport",17.971592,73.043761,,"AS","IN","IN-MM","Narayannagar","no",,,,,,,
341970,"IN-0260","heliport","Chennai Military Hospital Helipad",13.0196,80.1976,52,"AS","IN","IN-TN","Chennai","no",,,,,,,
341972,"IN-0261","heliport","Chethy Beach Helipad",9.624,76.2966,13,"AS","IN","IN-KL","Mararikkulam North","no",,,,,,,
341973,"IN-0262","heliport","Devaswam Board Pampa College Helipad",9.3235,76.5354,16,"AS","IN","IN-KL","Nirmalapuram","no",,,,,,,
341974,"IN-0263","heliport","Manjinikkara Helipad",9.2481,76.7469,55,"AS","IN","IN-KL","Pathanamthitta","no",,,,,,,
341975,"IN-0264","heliport","Kottayam Police Heliport",9.5911,76.5337,128,"AS","IN","IN-KL","Kottayam","no",,,,,,,
341976,"IN-0265","heliport","KSEB Heliport",9.7855,76.8503,515,"AS","IN","IN-KL","Moolamattom","no",,,,,,,
341977,"IN-0266","heliport","Lakeshore Hospital Helipad",9.9188,76.319,,"AS","IN","IN-KL","Ernakulam","no",,,,,,,
341978,"IN-0267","heliport","Sabarimala Nilakkal Heliport",9.3863,77.0102,1270,"AS","IN","IN-KL","Perunad","no",,,,,,,
341979,"IN-0268","heliport","Amrita Heliport",10.0366,76.2996,20,"AS","IN","IN-KL","Ernakulam","no",,,,,,,
341980,"IN-0269","heliport","Bolgatty / Lulu Grand Hyatt Heliport",9.9899,76.264,1,"AS","IN","IN-KL","Ernakulam","no",,,,,,,
341981,"IN-0270","heliport","Jatayu-Chipsan Aviation Heliport",8.8634,76.8661,478,"AS","IN","IN-KL","Kollam","no",,,,,,,
341982,"IN-0271","heliport","Ayiranalloor Heliport",8.9858,76.9729,586,"AS","IN","IN-KL","Ayiranalloor","no",,,,,,,
341983,"IN-0272","heliport","Chipsan-Orange Hills Heliport",9.6348,77.1308,3754,"AS","IN","IN-KL","Pathumury","no",,,,,,,
341984,"IN-0273","heliport","Prakrithisakthi Helipad",9.5293,76.9786,2726,"AS","IN","IN-KL","Panchalimedu","no",,,,,,,
341985,"IN-0274","heliport","Ottakathatla Helipad",9.6367,77.1545,3996,"AS","IN","IN-KL","Chakkuppallam","no",,,,,,,
341986,"IN-0275","heliport","Aster Hospital Helipad",10.0445,76.2767,14,"AS","IN","IN-KL","Kochi","no",,,,,,,
342093,"IN-0276","large_airport","Navi Mumbai International Airport",18.984597,73.065253,184,"AS","IN","IN-MM","Navi Mumbai","yes","VANM","NMI","VANM",,,"https://en.wikipedia.org/wiki/Navi_Mumbai_International_Airport","D. B. Patil, new airport"
342196,"IN-0278","heliport","Nyoma Heliport",33.193,78.6417,13594,"AS","IN","IN-LA","Nyoma","no",,,,,,,
342197,"IN-0279","small_airport","Chushul Airstrip",33.55493,78.72214,14213,"AS","IN","IN-LA","Chushul","no",,,,,,,
342198,"IN-0280","heliport","Tangtse Heliport",34.06786,78.13719,12851,"AS","IN","IN-LA","Tangtse","no",,,,,,,
342199,"IN-0281","heliport","Surtok Heliport",33.966779,78.418908,13944,"AS","IN","IN-LA","Surtok","no",,,,,,,
342200,"IN-0282","heliport","Man Heliport",33.85732,78.52398,14127,"AS","IN","IN-LA","Man","no",,,,,,,
